uid,source,group,dataset,tokens,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
fakebr:1006,fakebr,human,fakebr_human,222,5.8558558558558556,18.01801801801802,2.2522522522522523,1.3513513513513513,3.1531531531531534,16.666666666666668,0.0,18.91891891891892,1.3513513513513513,0.0,2.2522522522522523,8.558558558558559,9.90990990990991,0.9009009009009009,0.45045045045045046,10.36036036036036,0.0
fakebr:1006,fakebr,machine,fakebr_machine,394,6.852791878172589,13.451776649746193,4.314720812182741,2.5380710659898478,1.5228426395939085,11.421319796954315,0.0,19.79695431472081,1.7766497461928934,0.0,4.314720812182741,6.345177664974619,11.16751269035533,2.284263959390863,0.0,14.213197969543147,0.0
fakebr:104,fakebr,human,fakebr_human,654,5.657492354740061,16.36085626911315,5.045871559633028,4.587155963302752,1.529051987767584,14.220183486238533,0.0,16.972477064220183,0.764525993883792,0.0,8.562691131498472,3.9755351681957185,7.798165137614679,2.293577981651376,0.0,12.232415902140673,0.0
fakebr:104,fakebr,machine,fakebr_machine,384,5.208333333333333,15.885416666666666,3.125,2.8645833333333335,2.0833333333333335,10.416666666666666,0.0,18.75,1.5625,0.0,1.0416666666666667,12.760416666666666,12.5,1.8229166666666667,0.5208333333333334,11.458333333333334,0.0
fakebr:1129,fakebr,human,fakebr_human,309,3.236245954692557,18.77022653721683,2.912621359223301,0.970873786407767,2.912621359223301,14.88673139158576,0.0,18.446601941747574,6.472491909385114,0.0,0.970873786407767,8.414239482200648,10.35598705501618,0.970873786407767,1.2944983818770226,9.385113268608414,0.0
fakebr:1129,fakebr,machine,fakebr_machine,909,5.720572057205721,14.631463146314632,3.6303630363036303,2.8602860286028604,2.31023102310231,13.421342134213422,0.0,21.562156215621563,1.54015401540154,0.0,3.8503850385038505,5.83058305830583,10.781078107810782,1.1001100110011002,0.44004400440044006,12.101210121012102,0.22002200220022003
fakebr:2623,fakebr,human,fakebr_human,229,3.493449781659389,14.847161572052402,1.3100436681222707,3.493449781659389,1.7467248908296944,14.410480349344978,0.0,17.903930131004365,3.056768558951965,0.0,3.056768558951965,13.100436681222707,13.100436681222707,0.8733624454148472,1.3100436681222707,8.296943231441048,0.0
fakebr:2623,fakebr,machine,fakebr_machine,654,4.740061162079511,14.984709480122325,4.281345565749236,2.599388379204893,2.293577981651376,14.678899082568808,0.0,17.584097859327215,1.9877675840978593,0.0,2.7522935779816513,9.63302752293578,9.327217125382264,1.9877675840978593,1.6819571865443426,11.46788990825688,0.0
fakebr:3020,fakebr,human,fakebr_human,132,3.787878787878788,14.393939393939394,3.0303030303030303,3.0303030303030303,0.7575757575757576,15.151515151515152,0.0,15.909090909090908,0.0,0.0,0.7575757575757576,18.181818181818183,13.636363636363637,1.5151515151515151,0.7575757575757576,9.090909090909092,0.0
fakebr:3020,fakebr,machine,fakebr_machine,504,4.365079365079365,17.658730158730158,3.7698412698412698,1.3888888888888888,1.9841269841269842,11.706349206349206,0.0,20.634920634920636,2.1825396825396823,0.0,1.5873015873015872,12.5,10.912698412698413,0.7936507936507936,0.9920634920634921,9.523809523809524,0.0
