uid,source,group,dataset,sentences,words,rules,unique_rules,rules_per_sentence,unique_rules_per_sentence,rule_diversity,words_per_sentence
fakebr:1006,fakebr,human,fakebr_human,6,222,100,37,16.666666666666668,9.333333333333334,0.37,37.0
fakebr:1006,fakebr,machine,fakebr_machine,21,394,144,46,6.857142857142857,4.619047619047619,0.3194444444444444,18.761904761904763
fakebr:104,fakebr,human,fakebr_human,47,654,258,84,5.48936170212766,3.9574468085106385,0.32558139534883723,13.914893617021276
fakebr:104,fakebr,machine,fakebr_machine,15,384,148,49,9.866666666666667,6.0,0.3310810810810811,25.6
fakebr:1129,fakebr,human,fakebr_human,14,309,137,46,9.785714285714286,5.928571428571429,0.3357664233576642,22.071428571428573
fakebr:1129,fakebr,machine,fakebr_machine,59,909,380,112,6.440677966101695,4.322033898305085,0.29473684210526313,15.40677966101695
fakebr:2623,fakebr,human,fakebr_human,11,229,79,31,7.181818181818182,5.0,0.3924050632911392,20.818181818181817
fakebr:2623,fakebr,machine,fakebr_machine,29,654,253,74,8.724137931034482,6.137931034482759,0.2924901185770751,22.551724137931036
fakebr:3020,fakebr,human,fakebr_human,7,132,37,14,5.285714285714286,4.142857142857143,0.3783783783783784,18.857142857142858
fakebr:3020,fakebr,machine,fakebr_machine,17,504,200,53,11.764705882352942,6.823529411764706,0.265,29.647058823529413
fakebr:3041,fakebr,human,fakebr_human,9,200,75,26,8.333333333333334,5.222222222222222,0.3466666666666667,22.22222222222222
fakebr:3041,fakebr,machine,fakebr_machine,25,565,227,57,9.08,5.76,0.2511013215859031,22.6
fakebr:421,fakebr,human,fakebr_human,12,236,78,27,6.5,4.0,0.34615384615384615,19.666666666666668
fakebr:421,fakebr,machine,fakebr_machine,23,563,235,66,10.217391304347826,6.695652173913044,0.28085106382978725,24.47826086956522
fakebr:458,fakebr,human,fakebr_human,15,368,122,37,8.133333333333333,5.2,0.30327868852459017,24.533333333333335
fakebr:458,fakebr,machine,fakebr_machine,21,326,111,44,5.285714285714286,3.8095238095238093,0.3963963963963964,15.523809523809524
fakebr:573,fakebr,human,fakebr_human,12,275,113,45,9.416666666666666,6.0,0.39823008849557523,22.916666666666668
fakebr:573,fakebr,machine,fakebr_machine,32,913,366,92,11.4375,7.0,0.25136612021857924,28.53125
fakebr:917,fakebr,human,fakebr_human,11,135,36,22,3.272727272727273,2.8181818181818183,0.6111111111111112,12.272727272727273
fakebr:917,fakebr,machine,fakebr_machine,20,354,120,46,6.0,4.3,0.38333333333333336,17.7
faketruebr:1043,faketruebr,human,faketruebr_human,4,155,74,32,18.5,10.25,0.43243243243243246,38.75
faketruebr:1043,faketruebr,machine,faketruebr_machine,18,493,221,53,12.277777777777779,6.833333333333333,0.2398190045248869,27.38888888888889
faketruebr:1429,faketruebr,human,faketruebr_human,16,260,160,50,10.0,5.5625,0.3125,16.25
faketruebr:1429,faketruebr,machine,faketruebr_machine,14,323,159,50,11.357142857142858,6.214285714285714,0.31446540880503143,23.071428571428573
faketruebr:1587,faketruebr,human,faketruebr_human,5,156,72,29,14.4,7.8,0.4027777777777778,31.2
faketruebr:1587,faketruebr,machine,faketruebr_machine,15,389,175,57,11.666666666666666,7.2,0.32571428571428573,25.933333333333334
faketruebr:1773,faketruebr,human,faketruebr_human,7,86,42,16,6.0,4.0,0.38095238095238093,12.285714285714286
faketruebr:1773,faketruebr,machine,faketruebr_machine,17,612,282,80,16.58823529411765,9.411764705882353,0.28368794326241137,36.0
faketruebr:215,faketruebr,human,faketruebr_human,6,113,57,26,9.5,6.166666666666667,0.45614035087719296,18.833333333333332
faketruebr:215,faketruebr,machine,faketruebr_machine,12,288,120,46,10.0,6.5,0.38333333333333336,24.0
faketruebr:230,faketruebr,human,faketruebr_human,4,99,35,13,8.75,4.75,0.37142857142857144,24.75
faketruebr:230,faketruebr,machine,faketruebr_machine,11,259,106,37,9.636363636363637,6.2727272727272725,0.3490566037735849,23.545454545454547
faketruebr:509,faketruebr,human,faketruebr_human,10,213,77,34,7.7,5.0,0.44155844155844154,21.3
faketruebr:509,faketruebr,machine,faketruebr_machine,14,380,141,48,10.071428571428571,6.214285714285714,0.3404255319148936,27.142857142857142
faketruebr:542,faketruebr,human,faketruebr_human,14,253,112,43,8.0,4.5,0.38392857142857145,18.071428571428573
faketruebr:542,faketruebr,machine,faketruebr_machine,16,461,206,68,12.875,7.375,0.3300970873786408,28.8125
faketruebr:70,faketruebr,human,faketruebr_human,7,89,50,22,7.142857142857143,4.428571428571429,0.44,12.714285714285714
faketruebr:70,faketruebr,machine,faketruebr_machine,18,406,180,56,10.0,6.222222222222222,0.3111111111111111,22.555555555555557
faketruebr:74,faketruebr,human,faketruebr_human,7,165,72,16,10.285714285714286,5.428571428571429,0.2222222222222222,23.571428571428573
faketruebr:74,faketruebr,machine,faketruebr_machine,8,232,95,38,11.875,7.25,0.4,29.0
